Interface,Signal Name,Description,Direction,PinName,Function Number,Function select register,,,,,,,,
,VO_D[36],,O,SD1_CMD,0,"FMUX_GPIO_REG_IOCTRL_SD1_CMD
0x0300_10E0",,,,,,,,
,VO_D[37],,O,SD1_CLK,0,"FMUX_GPIO_REG_IOCTRL_SD1_CLK
0x0300_10E4",,,,,,,,
Parallel Video In,VI0_CLK,,I,PAD_MIPIRX4N,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX4N
0x0300_116C",,,,,,,,
,VI0_D[0],,I,PAD_MIPIRX4P,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX4P
0x0300_1170",,,,,,,,
,VI0_D[1],,I,PAD_MIPIRX3N,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX3N
0x0300_1174",,,,,,,,
,VI0_D[10],,I,PAD_MIPI_TXP0,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXP0
0x0300_11B8",,,,,,,,
,VI0_D[11],,I,PAD_MIPI_TXM1,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM1
0x0300_11AC",,,,,,,,
,VI0_D[12],,I,PAD_MIPI_TXP1,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXP1
0x0300_11B0",,,,,,,,
,VI0_D[13],,I,PAD_MIPI_TXM2,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM2
0x0300_11A4",,,,,,,,
,VI0_D[14],,I,PAD_MIPI_TXP2,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXP2
0x0300_11A8",,,,,,,,
,VI0_D[15],,I,PAD_MIPI_TXM4,0,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM4
0x0300_1194",,,,,,,,
,VI0_D[16],,I,PAD_MIPI_TXP4,0,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXP4
0x0300_1198",,,,,,,,
,VI0_D[17],,I,PAD_MIPI_TXM3,0,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXM3
0x0300_119C",,,,,,,,
,VI0_D[18],,I,PAD_MIPI_TXP3,0,"FMUX_GPIO_REG_IOCTRL_PAD_MIPI_TXP3
0x0300_11A0",,,,,,,,
,VI0_D[2],,I,PAD_MIPIRX3P,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX3P
0x0300_1178",,,,,,,,
,VI0_D[3],,I,PAD_MIPIRX2N,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX2N
0x0300_117C",,,,,,,,
,VI0_D[4],,I,PAD_MIPIRX2P,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX2P
0x0300_1180",,,,,,,,
,VI0_D[5],,I,PAD_MIPIRX1N,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX1N
0x0300_1184",,,,,,,,
,VI0_D[6],,I,PAD_MIPIRX1P,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX1P
0x0300_1188",,,,,,,,
,VI0_D[7],,I,PAD_MIPIRX0N,1,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX0N
0x0300_118C",,,,,,,,
